id,label,primary_category,n_triples,text
2104.05909,math,math.OA,6,We consider a (nonlinear) transformation. Which preserve the norm. We obtain the same conclusion. We relax the surjectivity assumption. The domain contain sufficiently many elements. The image contain sufficiently many elements.
2203.01624,astro-ph,astro-ph.CO,6,We revisit potential biases. That expand the multiplicative bias field. We find terms. We propagate these biases. Such biases perform regression. The susceptibility use methods.
2505.05426,cs,cs.DM,3,We present two generalised ants. Which admit both highway behaviours. This limit the well known highway conjecture.
2311.03523,math,math.NT,2,We prove explicit formulas. We correct a couple.
2207.01697,cs,cs.CV,12,Heart rate measuring play an important role. Which estimate heart rate. Whose trait recover rppg signal. Which thwart the efficient training. We propose a comprehensive methodology. We boost your heartbeat estimation. Byhe boost its training efficiency. We apply our methodology. We save tremendous time. We conduct laborious handworks. We enhance the utilization. Byhe leverage classical end-to-end network.
2206.05282,cs,cs.CV,9,Transformers become a default architecture. What drive their predictions. These provide a limited view. Shapley values offer a theoretically sound alternative. We leverage an attention masking approach. We develop a procedure. We learn explainer model. Our experiments compare shapley values. Our approach provide more accurate explanations.
1901.10940,hep-ph,hep-ph,6,We propose a new universal super weak (or self interacting vector bosons) color. All the sm fermions couple universally whose confining radius. The model have some very interesting consequences. It constitute most. Which explain the observed dm. It explain the big bang.
2104.01737,math,math.AP,4,We give improvements. Our improved hardy type inequality derive both two hardy type inequalities. We improve two rellich type inequalities. We use the improved hardy type inequality.
1912.04830,math,math.PR,2,We obtain a dimensional reduction result. We use a supersymmetric representation.
2506.15062,cond-mat,cond-mat.supr-con,2,Manipulating ferroelectricity change the interfacial conductivity. These findings open the door.
1905.10775,cs,cs.DS,3,We develop deterministic approximation algorithms. We obtain two algorithms. Set approximations increase the approximation guarantee.
2012.05257,hep-lat,hep-lat,9,This demonstrate the physical relevance. This open avenues. Sparsity lend the promise. We consider quantum operations. We develop non-hermitian quantum circuits. We explore their promise. Observables probe the lee-yang edge singularity. The development past critical points. The development indicate a potential.
2502.18855,eess,eess.SP,15,2d grid-based codebooks capture near-field effects. We address this issue. We propose a novel line-of-sight (los) near-field beam alignment scheme. That leverage the discrete fourier transform (dft) matrix. This approach ensure backward compatibility. This approach allow its reuse. We introduce a new method. We define the concept. That exhibit significant correlation. The proposed hybrid scheme integrate model-based principles. It utilize the properties. It employ a deep neural network. The fine alignment enhance accuracy. The proposed scheme achieve superior alignment performance. The proposed scheme reduce both computational and model complexity.
2505.15967,math,math.AP,2,Each equation involve the sum. We use the solvability conditions.
