id,label,primary_category,n_triples,text
2104.05909,math,math.OA,6,"in this paper, we consider a (nonlinear) transformation of invertible positive elements in -algebras which preserves the norm of any of the three fundamental means of positive elements; namely, , where stands for the arithmetic mean , the geometric mean , or the harmonic mean . assuming that is surjective and preserves either the norm of the arithmetic mean or the norm of the geometric mean, we show that extends to a jordan -isomorphism between the underlying full algebras. if is surjective and preserves the norm of the harmonic mean, then we obtain the same conclusion in the special cases where the underlying algebras are -algebras or commutative -algebras. in the commutative case, for a transformation , we can relax the surjectivity assumption and show that is a generalized composition operator if preserves the norm of the (arithmetic, geometric, harmonic, or in general any power) mean of any finite collection of positive functions, provided that the domain contains sufficiently many elements to peak on compact sets. when the image also contains sufficiently many elements to peak on compact sets, extends to an algebra -isomorphism between the underlying full function algebras. [SEP] We consider a (nonlinear) transformation. Which preserve the norm. We obtain the same conclusion. We relax the surjectivity assumption. The domain contain sufficiently many elements. The image contain sufficiently many elements."
2203.01624,astro-ph,astro-ph.CO,6,"in this paper we revisit potential biases in cosmic shear power spectra caused by bias terms that multiply up to quadratic powers of the shear. expanding the multiplicative bias field as a series of independent spin- fields we find terms that multiply integer and half-integer powers of the shear. we propagate these biases into shape measurement statistics and the cosmic shear power spectrum. we find that such biases can be measured by performing regression on calibration data. we find that for integer powers of shear the impact of quadratic order terms on the power spectrum is an additional bispectrum dependency; ignoring quadratic terms can lead to biases in cosmological parameters of up to for stage-iv dark energy experiments, but that the susceptibility to them can be decreased by using methods to remove small-scale sensitivity. we also find, for half-integer powers of the shear that, for a stage-iv experiment, biases are required to be known to better than approximately . in future, stage-iv dark energy experiments should seek to measure and minimise such all such bias terms. [SEP] We revisit potential biases. That expand the multiplicative bias field. We find terms. We propagate these biases. Such biases perform regression. The susceptibility use methods."
2505.05426,cs,cs.DM,3,we present two generalised ants (llrrrl and llrlrll) which admit both highway behaviours and other kinds of emergent behaviours from initially finite configurations. this limits the well known highway conjecture on langton's ant as it shows that a generalised version of this conjecture generically does not hold on generalised ants. [SEP] We present two generalised ants. Which admit both highway behaviours. This limit the well known highway conjecture.
2311.03523,math,math.NT,2,"in this mostly expository note, we prove explicit formulas for the traces of hecke operators on spaces of cusp forms fixed by atkin-lehner involutions, which are suitable for efficient implementation. in addition, we correct a couple of errors in previously published formulas. [SEP] We prove explicit formulas. We correct a couple."
2207.01697,cs,cs.CV,12,"heart rate measuring based on remote photoplethysmography (rppg) plays an important role in health caring, which estimates heart rate from facial video in a non-contact, less-constrained way. end-to-end neural network is a main branch of rppg-based heart rate estimation methods, whose trait is recovering rppg signal containing sufficient heart rate message from original facial video directly. however, there exists some easily neglected problems on relevant datasets which thwarting the efficient training of end-to-end methods, such as uncertain temporal delay and indefinite envelope shape of label waves. although many novel and powerful networks are proposed, hitherto there are no systematic research digging into these problems. in this paper, from perspective of common intrinsic rhythm periodical self-similarity results from cardiac activities, we propose a comprehensive methodology, boost your heartbeat estimation (byhe), including new label representations, corresponding network adjustments and loss functions. byhe can be easily grafted on current end-to-end network and boost its training efficiency. by applying our methodology, we can save tremendous time without conducting laborious handworks, such as label wave alignment which is necessary for previous end-to-end methods, and meanwhile enhance the utilization on datasets. according to our experiments, byhe can leverage classical end-to-end network to reach competitive performance against those state-of-the-art methods on mostly used datasets. such improvement indicates selecting perspicuous and efficient label representation is also a promising direction towards better remote physiological signal measurement. [SEP] Heart rate measuring play an important role. Which estimate heart rate. Whose trait recover rppg signal. Which thwart the efficient training. We propose a comprehensive methodology. We boost your heartbeat estimation. Byhe boost its training efficiency. We apply our methodology. We save tremendous time. We conduct laborious handworks. We enhance the utilization. Byhe leverage classical end-to-end network."
2206.05282,cs,cs.CV,9,"transformers have become a default architecture in computer vision, but understanding what drives their predictions remains a challenging problem. current explanation approaches rely on attention values or input gradients, but these provide a limited view of a model's dependencies. shapley values offer a theoretically sound alternative, but their computational cost makes them impractical for large, high-dimensional models. in this work, we aim to make shapley values practical for vision transformers (vits). to do so, we first leverage an attention masking approach to evaluate vits with partial information, and we then develop a procedure to generate shapley value explanations via a separate, learned explainer model. our experiments compare shapley values to many baseline methods (e.g., attention rollout, gradcam, lrp), and we find that our approach provides more accurate explanations than existing methods for vits. [SEP] Transformers become a default architecture. What drive their predictions. These provide a limited view. Shapley values offer a theoretically sound alternative. We leverage an attention masking approach. We develop a procedure. We learn explainer model. Our experiments compare shapley values. Our approach provide more accurate explanations."
1901.10940,hep-ph,hep-ph,6,"in this work we will propose a new universal super weak (or self interacting vector bosons) color to which all the sm fermions are assumed to be coupled universally whose confining radius is in the range of the size of galaxies. we will argue that the model has some very interesting consequences such as it could be able to explain the observed rotation velocity anomalies in large galaxies without requirement of specific dm particle. we will also show that it could constitute most of the observed mass of a galaxy, similar like the proton mass which is mostly made up of color interaction dynamics as shown recently, which could explain the observed dm in the rotation velocities of galaxies in galaxy clusters. also when the n is very small, we will show that it could explain the big bang and hubble's law, dark energy, and tentatively also flavor and neutrino oscillation. [SEP] We propose a new universal super weak (or self interacting vector bosons) color. All the sm fermions couple universally whose confining radius. The model have some very interesting consequences. It constitute most. Which explain the observed dm. It explain the big bang."
2104.01737,math,math.AP,4,"we give improvements and generalizations of both the classical hardy inequality and the geometric hardy inequality based on the divergence theorem. especially, our improved hardy type inequality derives both two hardy type inequalities with best constants. besides, we improve two rellich type inequalities by using the improved hardy type inequality. [SEP] We give improvements. Our improved hardy type inequality derive both two hardy type inequalities. We improve two rellich type inequalities. We use the improved hardy type inequality."
1912.04830,math,math.PR,2,we obtain a dimensional reduction result for the law of a class of stochastic differential equations using a supersymmetric representation first introduced by parisi and sourlas. [SEP] We obtain a dimensional reduction result. We use a supersymmetric representation.
2506.15062,cond-mat,cond-mat.supr-con,2,"interfaces can differ from their parent compounds in terms of charge, spin, and orbital orders and are fertile ground for emergent phenomena, strongly correlated physics, and device applications. here, we discover that ferroelectric order resides at the interface of two oxides, laalo3/ktao3(111) (lao/kto), where two seemingly mutually exclusive orders-ferroelectricity and superconductivity-coexist. moreover, manipulating ferroelectricity can change the interfacial conductivity by more than 1000 times, simultaneously causing superconductivity to diminish and reappear due to the coupling between these phenomena. the ferroelectricity is confirmed by scanning transmission electron microscopy (stem), second harmonic generation (shg) microscopy, and piezoelectric force microscopy (pfm). stem reveals k ions are displaced relative to ta ions, with the help of oxygen vacancies at the lao/kto interface. the resultant electric polarization is locally switchable by applying a voltage between the pfm tip and the lao film. the ferroelectric hysteresis correlates with hysteresis change in interfacial conductivity and the superconducting transition temperature (tc). the loss and reentrance of superconductivity are accounted for by orders of magnitude change in the hall mobility induced by the polarization switching. these findings open the door to ferroelectric superconductivity with broken inversion symmetry and non-volatile modulation of superconductivity. [SEP] Manipulating ferroelectricity change the interfacial conductivity. These findings open the door."
